"Munícipio","Região Administrativa","Ano","Porte","i-Educ","i-Saúde","i-Planejamento","i-Fiscal","i-Amb","i-Cidade","i-Gov-TI","IEGM","Receita","Despesa","Habitantes"
"Colina","Região Administrativa de Barretos","2016","Pequeno","B+","B+","C","B+","B","C+","B","B","R$ 70,359,019.49","R$ 65,882,376.99","17533"
"Colina","Região Administrativa de Barretos","2014","Pequeno","A","B+","C+","B","B+","C+","B","B","R$ 64,703,419.15","R$ 62,527,767.44","17485"
"Colina","Região Administrativa de Barretos","2015","Pequeno","B+","B+","C","B+","C+","B","B","B","R$ 61,715,348.14","R$ 61,080,195.53","17515"
"Colômbia","Região Administrativa de Barretos","2015","Pequeno","B","B+","B+","C+","B","B+","B","B","R$ 33,197,596.03","R$ 34,340,493.41","6025"
"Colômbia","Região Administrativa de Barretos","2016","Pequeno","B+","B","B+","B","A","B","B","B+","R$ 38,720,670.02","R$ 39,244,878.23","6029"
"Colômbia","Região Administrativa de Barretos","2014","Pequeno","B+","B+","A","B+","B+","A","B+","B+","R$ 34,561,763.57","R$ 35,104,549.59","6019"
"Colômbia","Região Administrativa de Barretos","2017","Pequeno","B","B","B","B","A","B+","B","C","R$ 38,712,319.54","R$ 38,618,767.12","6225"
"Conchal","Região Administrativa de Campinas","2016","Médio","B+","B","C+","B+","B+","C","B","B","R$ 88,540,385.07","R$ 84,754,057.78","26484"
"Conchal","Região Administrativa de Campinas","2017","Médio","B","B","C","C+","B+","C","B","C+","R$ 92,646,716.07","R$ 86,413,176.51","27554"
"Conchal","Região Administrativa de Campinas","2014","Médio","A","B+","C","B+","B+","C","B","B","R$ 76,753,220.99","R$ 75,193,693.30","26069"
"Conchal","Região Administrativa de Campinas","2015","Médio","A","B+","B","B","A","C","C+","B","R$ 80,219,522.22","R$ 74,905,049.92","26288"
"Conchas","Região Administrativa de Sorocaba","2014","Pequeno","A","B","C","B+","B+","C","B+","B","R$ 44,580,614.85","R$ 45,069,283.87","16628"
"Conchas","Região Administrativa de Sorocaba","2015","Pequeno","B+","B+","C","B","B+","B","B","B","R$ 46,806,537.98","R$ 50,013,453.67","16717"
"Conchas","Região Administrativa de Sorocaba","2017","Pequeno","B","B","C","B","A","B","B","B","R$ 49,427,816.01","R$ 50,645,589.86","17638"
"Conchas","Região Administrativa de Sorocaba","2016","Pequeno","A","B","C","B+","B+","B","C+","B","R$ 49,303,648.21","R$ 47,672,542.77","16799"
"Cordeirópolis","Região Administrativa de Campinas","2015","Médio","C+","B","C","B","B","C+","B","C+","R$ 111,327,680.69","R$ 111,478,387.96","22824"
"Cordeirópolis","Região Administrativa de Campinas","2014","Médio","B+","B+","C","B+","C","C","B","B","R$ 102,680,833.90","R$ 104,355,945.56","22457"
"Cordeirópolis","Região Administrativa de Campinas","2016","Médio","B+","B+","C","B","C","C","C+","B","R$ 118,825,144.74","R$ 121,982,903.40","23123"
"Cordeirópolis","Região Administrativa de Campinas","2017","Médio","B","B+","C","B","B","C","C+","C+","R$ 124,741,840.38","R$ 121,678,242.70","23793"
"Coroados","Região Administrativa de Araçatuba","2014","Pequeno","B+","B+","B","B+","B+","B","B","B+","R$ 16,041,890.17","R$ 16,560,016.35","5540"
"Coroados","Região Administrativa de Araçatuba","2015","Pequeno","B","B+","C","B+","B+","B","B","B","R$ 16,713,082.02","R$ 16,942,938.25","5620"
"Coroados","Região Administrativa de Araçatuba","2016","Pequeno","B","B","C","B","C","C","C+","C+","R$ 18,126,705.89","R$ 17,936,331.64","5680"
"Coroados","Região Administrativa de Araçatuba","2017","Pequeno","B","B","C","C","C","C","C","C+","R$ 18,157,646.56","R$ 18,406,571.98","5885"
"Coronel Macedo","Região Administrativa de Itapeva","2016","Muito Pequeno","B","B","C+","B+","B","C","C","B","R$ 20,608,188.84","R$ 18,733,730.46","4884"
"Coronel Macedo","Região Administrativa de Itapeva","2014","Muito Pequeno","B+","B","B+","B+","C+","C","C","B","R$ 17,812,676.98","R$ 17,430,715.53","4917"
"Coronel Macedo","Região Administrativa de Itapeva","2017","Muito Pequeno","C","B","C","B","C","C","C","C","R$ 20,088,745.07","R$ 18,982,068.45","4840"
"Coronel Macedo","Região Administrativa de Itapeva","2015","Muito Pequeno","C+","B+","B","B+","B","C","C","B","R$ 18,948,200.64","R$ 17,657,498.53","4895"
"Corumbataí","Região Administrativa de Campinas","2015","Muito Pequeno","B+","B","C","B+","B","C","C+","B","R$ 20,127,629.74","R$ 19,468,671.58","3919"
"Corumbataí","Região Administrativa de Campinas","2016","Muito Pequeno","B+","B","B","B+","B+","C","B","B","R$ 23,126,615.54","R$ 22,462,800.89","3928"
"Corumbataí","Região Administrativa de Campinas","2017","Muito Pequeno","B","B","B","C+","B","C","B","B","R$ 22,359,470.50","R$ 23,448,379.91","4054"
"Corumbataí","Região Administrativa de Campinas","2014","Muito Pequeno","A","C+","A","B","C+","C","B","B","R$ 20,450,517.92","R$ 21,570,251.45","3910"
"Cosmorama","Região Administrativa de São José do Rio Preto","2017","Pequeno","B","B+","C","B+","B","C","B+","B","R$ 27,218,141.97","R$ 25,647,125.09","7374"
"Cosmorama","Região Administrativa de São José do Rio Preto","2016","Pequeno","A","B+","B","B+","B","C","B","B+","R$ 26,458,956.56","R$ 25,537,191.51","7079"
"Cosmorama","Região Administrativa de São José do Rio Preto","2015","Pequeno","B+","B+","B","B","B","C","B","B","R$ 24,569,788.03","R$ 25,272,888.65","7100"
"Cosmorama","Região Administrativa de São José do Rio Preto","2014","Pequeno","A","B+","B+","B","B+","C","B","B+","R$ 24,041,516.22","R$ 25,324,774.44","7123"
"Cosmópolis","Região Administrativa de Campinas","2017","Médio","B","C+","C","B","C+","B","C+","C+","R$ 157,012,407.97","R$ 148,441,592.84","69086"
"Cosmópolis","Região Administrativa de Campinas","2015","Médio","C+","B","B","B","B+","B+","C","B","R$ 137,151,749.30","R$ 148,545,279.41","65328"
"Cosmópolis","Região Administrativa de Campinas","2016","Médio","C+","B","C","B","B+","C+","C","C+","R$ 146,868,002.15","R$ 158,429,514.59","66478"
"Cosmópolis","Região Administrativa de Campinas","2014","Médio","A","B+","B","B","B","B+","C","B","R$ 132,790,320.76","R$ 140,865,190.74","63942"
"Cotia","Região Metropolitana de São Paulo","2015","Grande","B","B","C","B+","B","B+","C+","B","R$ 673,019,899.95","R$ 650,067,282.02","224980"
"Cotia","Região Metropolitana de São Paulo","2016","Grande","C+","B","C","B","C+","C+","C+","C+","R$ 752,929,558.61","R$ 731,582,896.62","229300"
"Cotia","Região Metropolitana de São Paulo","2017","Grande","C","C","C","B","B","B","B","C","R$ 789,801,736.61","R$ 720,876,793.73","237750"
"Cotia","Região Metropolitana de São Paulo","2014","Grande","B+","B","C","B","B","A","C+","B","R$ 715,741,306.37","R$ 624,287,021.55","219888"
"Cravinhos","Região Administrativa de Ribeirão Preto","2017","Médio","B+","A","C","B","C+","B","B","B","R$ 120,679,467.34","R$ 111,134,667.00","34651"
"Cravinhos","Região Administrativa de Ribeirão Preto","2015","Médio","B+","A","B","B+","C+","C","C+","B+","R$ 109,052,191.04","R$ 105,123,812.25","33113"
"Cravinhos","Região Administrativa de Ribeirão Preto","2016","Médio","B+","A","C","B","C+","C","C+","B","R$ 118,195,543.51","R$ 111,772,258.49","33372"
"Cravinhos","Região Administrativa de Ribeirão Preto","2014","Médio","A","A","C","B","C+","C","B","B","R$ 103,367,372.65","R$ 96,958,728.12","32818"
"Cristais Paulista","Região Administrativa de Franca","2017","Pequeno","C+","B","C","B","C","C","C+","C+","R$ 26,223,077.19","R$ 25,481,634.82","8424"
"Cristais Paulista","Região Administrativa de Franca","2015","Pequeno","B+","B+","B","B","B","B+","C","B","R$ 23,643,234.25","R$ 23,391,826.27","8032"
"Cristais Paulista","Região Administrativa de Franca","2014","Pequeno","A","A","B","B","C","C","B","B","R$ 24,709,715.98","R$ 24,736,917.02","7939"
"Cristais Paulista","Região Administrativa de Franca","2016","Pequeno","C+","B+","C","B","C","C+","C","C+","R$ 26,096,363.01","R$ 26,120,818.24","8109"
"Cruzeiro","Região Administrativa de São José dos Campos","2016","Médio","B","C+","B","C+","C+","B","C","C+","R$ 166,231,004.34","R$ 171,607,290.30","78848"
"Cruzeiro","Região Administrativa de São José dos Campos","2017","Médio","C","C","C","B","C","C+","C","C","R$ 170,777,313.39","R$ 170,760,321.37","81724"
"Cruzeiro","Região Administrativa de São José dos Campos","2015","Médio","B","B","C","C+","C","C+","C","C+","R$ 155,006,319.06","R$ 160,375,539.40","78581"
"Cruzeiro","Região Administrativa de São José dos Campos","2014","Médio","B+","B+","B","B","B","B+","B","B","R$ 149,460,760.69","R$ 148,375,796.63","78264"
"Cruzália","Região Administrativa de Marília","2016","Muito Pequeno","B","B+","C+","B","A","C","B","C","R$ 13,495,605.52","R$ 12,610,899.06","2172"
"Cruzália","Região Administrativa de Marília","2014","Muito Pequeno","B+","B+","A","A","A","C","C+","B+","R$ 12,979,423.22","R$ 13,453,955.58","2204"
"Cruzália","Região Administrativa de Marília","2015","Muito Pequeno","B+","A","B","B+","A","C","C","B","R$ 12,352,400.49","R$ 11,697,828.42","2186"
"Cruzália","Região Administrativa de Marília","2017","Muito Pequeno","B","C+","C","B","B","C","B","C+","R$ 13,598,385.21","R$ 14,631,834.50","2161"
"Cubatão","Região Administrativa de Santos","2017","Médio","C+","C+","C","C+","B","B+","B","C","R$ 1,091,273,428.56","R$ 985,149,922.80","128748"
"Cubatão","Região Administrativa de Santos","2014","Médio","B+","B","C","C+","B+","A","B+","B","R$ 967,780,256.79","R$ 981,586,819.74","122940"
"Cubatão","Região Administrativa de Santos","2015","Médio","B","C+","C","C+","B+","A","B","C+","R$ 1,016,375,677.72","R$ 1,073,876,109.18","124043"
"Cubatão","Região Administrativa de Santos","2016","Médio","B","C+","C","C+","B","A","C+","C+","R$ 993,083,629.35","R$ 1,069,898,200.02","125047"
"Cunha","Região Administrativa de São José dos Campos","2014","Médio","B","A","B+","B","C","A","C","B","R$ 44,376,497.71","R$ 44,540,627.48","21733"
"Cunha","Região Administrativa de São José dos Campos","2017","Médio","C","B","C","B","C","C+","C","C+","R$ 49,712,578.86","R$ 51,329,500.24","21929"
"Cunha","Região Administrativa de São José dos Campos","2016","Médio","B","A","C","B","C","B+","C","B","R$ 47,882,001.33","R$ 47,655,688.40","21694"
"Cunha","Região Administrativa de São José dos Campos","2015","Médio","C+","B","B+","B","C","B","C","C+","R$ 44,374,370.09","R$ 44,549,053.54","21697"
"Cássia dos Coqueiros","Região Administrativa de Ribeirão Preto","2015","Muito Pequeno","B+","B+","C","C+","B","C","C","B","R$ 12,816,380.15","R$ 13,543,293.24","2553"
"Cássia dos Coqueiros","Região Administrativa de Ribeirão Preto","2017","Muito Pequeno","B","C+","C","C+","C+","C","C","C","R$ 13,783,804.02","R$ 13,737,031.25","2591"
"Cássia dos Coqueiros","Região Administrativa de Ribeirão Preto","2014","Muito Pequeno","B+","B+","C+","C+","B","C","C","B","R$ 12,850,114.46","R$ 14,045,925.41","2569"
"Cássia dos Coqueiros","Região Administrativa de Ribeirão Preto","2016","Muito Pequeno","B","B+","C","B","C","C","C","C+","R$ 14,127,679.66","R$ 14,293,374.41","2542"
"Cândido Mota","Região Administrativa de Marília","2014","Médio","A","B+","C","B","B","C","C+","B","R$ 88,678,745.26","R$ 82,434,528.06","29948"
"Cândido Mota","Região Administrativa de Marília","2015","Médio","B+","B","C","B","C","C","B","C+","R$ 91,100,503.65","R$ 86,322,652.81","29965"
"Cândido Mota","Região Administrativa de Marília","2016","Médio","B+","B+","C","B+","B","C","B","B","R$ 101,291,924.07","R$ 93,336,368.31","29976"
"Cândido Mota","Região Administrativa de Marília","2017","Médio","B","C+","C","B","C+","C","C+","C+","R$ 107,508,040.78","R$ 91,800,507.62","31263"
"Cândido Rodrigues","Região Administrativa Central","2016","Muito Pequeno","B+","B+","B","B","B","C+","C","B","R$ 16,771,248.13","R$ 13,877,494.43","2675"
"Cândido Rodrigues","Região Administrativa Central","2017","Muito Pequeno","B","B","C","C+","B","C+","C","C+","R$ 16,488,817.60","R$ 14,177,405.55","2792"
"Cândido Rodrigues","Região Administrativa Central","2014","Muito Pequeno","A","B+","C","B+","B","B","C","B","R$ 15,207,331.07","R$ 14,219,162.90","2674"
"Cândido Rodrigues","Região Administrativa Central","2015","Muito Pequeno","B","B+","C","B+","C","C","C","B","R$ 14,626,736.06","R$ 13,107,628.88","2675"
"Descalvado","Região Administrativa Central","2015","Médio","B+","B","C","B","C","C","B","C+","R$ 91,395,382.21","R$ 93,144,178.75","31797"
"Descalvado","Região Administrativa Central","2014","Médio","A","B","B+","B","C","C+","B+","B","R$ 85,203,152.65","R$ 93,430,050.46","31643"
"Descalvado","Região Administrativa Central","2016","Médio","B+","B","C","B+","C","C","B","B","R$ 96,332,027.95","R$ 91,783,302.59","31923"
"Descalvado","Região Administrativa Central","2017","Médio","C+","B","C+","B","C","C","C+","C+","R$ 99,926,901.39","R$ 95,326,918.86","33346"
"Diadema","Região Metropolitana de São Paulo","2017","Grande","C+","B","C","C+","B","B+","B","C+","R$ 1,163,286,097.88","R$ 1,212,704,154.44","417869"
"Diadema","Região Metropolitana de São Paulo","2015","Grande","B","B","C","B","B+","B+","C+","B","R$ 1,083,321,788.68","R$ 1,067,497,138.92","396234"
"Diadema","Região Metropolitana de São Paulo","2016","Grande","B+","B+","C+","B","B+","B+","B","B","R$ 1,121,875,420.71","R$ 1,221,195,950.79","397868"
"Diadema","Região Metropolitana de São Paulo","2014","Grande","A","B+","C","B","B+","A","B","B","R$ 1,074,451,384.66","R$ 1,024,704,042.76","394131"
"Dirce Reis","Região Administrativa de São José do Rio Preto","2015","Muito Pequeno","B","B","B","B+","B+","C","C","B","R$ 12,190,593.47","R$ 10,716,996.76","1708"
"Dirce Reis","Região Administrativa de São José do Rio Preto","2016","Muito Pequeno","B","B+","B+","B+","B+","C","C","B","R$ 14,538,093.18","R$ 12,723,437.92","1710"
"Dirce Reis","Região Administrativa de São José do Rio Preto","2014","Muito Pequeno","B","B","C","B+","B+","C+","C","B","R$ 11,692,736.77","R$ 10,278,850.66","1704"
"Dirce Reis","Região Administrativa de São José do Rio Preto","2017","Muito Pequeno","C","B+","B","B+","B","C","C+","B","R$ 13,410,410.24","R$ 12,939,807.84","1785"
"Divinolândia","Região Administrativa de Campinas","2017","Pequeno","C","B","C","C+","B+","B","C+","C+","R$ 37,005,387.81","R$ 31,180,171.34","11384"
"Divinolândia","Região Administrativa de Campinas","2015","Pequeno","B","B","C","B","B+","C","C+","B","R$ 29,952,240.71","R$ 29,164,788.01","11020"
"Divinolândia","Região Administrativa de Campinas","2016","Pequeno","B","B+","C","B+","B+","C+","B","B","R$ 33,863,754.69","R$ 28,800,461.68","10993"
"Divinolândia","Região Administrativa de Campinas","2014","Pequeno","B+","B+","B","B","B","C","C+","B","R$ 30,690,198.15","R$ 27,577,952.43","11059"
"Dobrada","Região Administrativa Central","2017","Pequeno","C+","B","C","B+","B","C","C+","B","R$ 19,611,542.89","R$ 18,961,893.12","8744"
"Dobrada","Região Administrativa Central","2016","Pequeno","B","C+","B+","B+","C","C","B","B","R$ 19,634,276.90","R$ 17,527,169.76","8521"
"Dobrada","Região Administrativa Central","2014","Pequeno","B+","B","B+","A","C","C","B","B","R$ 17,247,472.61","R$ 18,848,623.54","8326"
"Dobrada","Região Administrativa Central","2015","Pequeno","B+","B","B","B+","C","C","B","B","R$ 17,925,738.58","R$ 17,509,736.03","8428"
"Dois Córregos","Região Administrativa de Bauru","2015","Médio","B+","B+","C","B+","B","C","C","B","R$ 65,615,627.51","R$ 66,901,173.20","25870"
"Dois Córregos","Região Administrativa de Bauru","2016","Médio","B+","B","C","B+","C","C","C+","B","R$ 74,921,893.09","R$ 71,200,047.56","26087"
"Dois Córregos","Região Administrativa de Bauru","2017","Médio","B","B","C","B+","C+","C","C+","C+","R$ 71,826,272.63","R$ 69,736,721.59","26891"
"Dois Córregos","Região Administrativa de Bauru","2014","Médio","A","A","C","B+","B","C","B","B","R$ 66,090,997.77","R$ 65,753,703.17","25641"
"Dolcinópolis","Região Administrativa de São José do Rio Preto","2014","Muito Pequeno","B+","B","C+","B","C","C","C","B","R$ 11,322,983.79","R$ 12,995,706.88","2075"
"Dolcinópolis","Região Administrativa de São José do Rio Preto","2016","Muito Pequeno","C","B","C+","B","C","C","C","C+","R$ 10,023,221.45","R$ 9,566,125.49","2063"
"Dolcinópolis","Região Administrativa de São José do Rio Preto","2015","Muito Pequeno","C","B","A","C+","C+","C","C","C+","R$ 9,730,890.07","R$ 10,882,703.26","2069"
"Dolcinópolis","Região Administrativa de São José do Rio Preto","2017","Muito Pequeno","C","B","C","C+","C","C","C","C","R$ 11,307,346.85","R$ 9,839,981.21","2136"
"Dourado","Região Administrativa Central","2014","Pequeno","A","B+","A","B+","C+","C","C","B+","R$ 22,803,055.51","R$ 23,226,995.38","8554"
"Dourado","Região Administrativa Central","2016","Pequeno","C","B+","B+","B+","C","C","B","B","R$ 25,322,899.40","R$ 25,394,948.10","8528"
"Dourado","Região Administrativa Central","2017","Pequeno","C","B","C","B+","C","C","C","C","R$ 28,198,995.03","R$ 27,453,784.50","8909"
"Dourado","Região Administrativa Central","2015","Pequeno","C+","B+","B","B+","C+","C","C+","B","R$ 25,642,483.41","R$ 25,830,333.88","8540"
"Dracena","Região Administrativa de Presidente Prudente","2017","Médio","C","C+","C","C+","B+","C","B","C+","R$ 108,893,574.39","R$ 109,577,039.07","46324"
"Dracena","Região Administrativa de Presidente Prudente","2016","Médio","C","B","C","B","B+","B","C+","C+","R$ 109,546,965.19","R$ 109,922,013.80","44396"
"Dracena","Região Administrativa de Presidente Prudente","2015","Médio","B+","B+","C","B+","A","B","B","B","R$ 103,014,841.18","R$ 106,765,868.29","44247"
"Dracena","Região Administrativa de Presidente Prudente","2014","Médio","B","B+","C+","B+","B+","B","B","B","R$ 98,827,826.31","R$ 99,700,810.73","44043"
"Duartina","Região Administrativa de Bauru","2016","Pequeno","C+","B+","B+","B+","C","C+","B+","B","R$ 33,923,015.85","R$ 32,477,145.02","12088"
"Duartina","Região Administrativa de Bauru","2015","Pequeno","B","B+","B","B","B+","B","B","B","R$ 31,600,921.98","R$ 31,427,329.86","12116"
"Duartina","Região Administrativa de Bauru","2014","Pequeno","A","A","A","B","B","B","C+","B+","R$ 31,220,343.41","R$ 31,467,266.07","12143"
"Duartina","Região Administrativa de Bauru","2017","Pequeno","C","B+","C+","B","B","C","A","C+","R$ 33,385,532.89","R$ 35,428,816.64","12549"
"Dumont","Região Administrativa de Ribeirão Preto","2014","Pequeno","B+","A","C","B+","C","C","C","B","R$ 22,959,271.02","R$ 23,061,504.52","8786"
"Dumont","Região Administrativa de Ribeirão Preto","2017","Pequeno","B","B","C","B","B+","B","C+","C+","R$ 26,647,042.02","R$ 25,846,890.81","9468"
"Dumont","Região Administrativa de Ribeirão Preto","2015","Pequeno","B","B+","C+","B","B","C","C","B","R$ 25,939,880.01","R$ 24,779,223.93","8960"
"Dumont","Região Administrativa de Ribeirão Preto","2016","Pequeno","B","B","C","B","C","C","C","C+","R$ 26,946,441.33","R$ 27,156,853.12","9079"
"Echaporã","Região Administrativa de Marília","2017","Pequeno","B","B","C+","B+","B","C","B","B","R$ 22,514,602.94","R$ 21,629,419.85","6247"
"Echaporã","Região Administrativa de Marília","2014","Pequeno","B","B+","B+","B+","A","B","B+","B+","R$ 20,220,376.45","R$ 20,117,266.40","6274"
"Echaporã","Região Administrativa de Marília","2015","Pequeno","C+","A","C","B+","B+","C","C+","B","R$ 20,022,878.17","R$ 20,836,746.25","6262"
"Echaporã","Região Administrativa de Marília","2016","Pequeno","B","A","C","B+","B+","C","B+","B","R$ 21,936,346.77","R$ 21,811,783.67","6253"
"Eldorado","Região Administrativa de Registro","2014","Pequeno","B+","B+","B+","B+","B","B","C+","B+","R$ 40,644,446.45","R$ 41,335,040.36","14790"
"Eldorado","Região Administrativa de Registro","2017","Pequeno","C+","B","C","C+","C+","B+","C+","C+","R$ 40,938,608.89","R$ 39,754,672.25","15436"
"Eldorado","Região Administrativa de Registro","2015","Pequeno","B+","B+","B","B+","C","B","B","B","R$ 42,184,668.12","R$ 43,238,497.38","14828"
"Eldorado","Região Administrativa de Registro","2016","Pequeno","B","C","B","B","C","B","C","C+","R$ 41,396,904.50","R$ 44,604,426.96","14909"
"Elias Fausto","Região Administrativa de Campinas","2017","Pequeno","C+","B","C+","B","C+","C","C","C+","R$ 50,899,413.86","R$ 52,155,797.84","17393"
"Elias Fausto","Região Administrativa de Campinas","2015","Pequeno","B","B","B","B","B","C","C","B","R$ 53,994,239.96","R$ 57,946,240.64","16612"
"Elias Fausto","Região Administrativa de Campinas","2014","Pequeno","A","B","B+","B","B","C","C+","B","R$ 50,920,424.30","R$ 52,097,723.68","16438"
"Elias Fausto","Região Administrativa de Campinas","2016","Pequeno","B+","B","B","B+","B","C+","C","B","R$ 57,394,889.46","R$ 52,605,030.08","16756"
"Elisiário","Região Administrativa de São José do Rio Preto","2017","Muito Pequeno","C+","B+","C+","B+","C+","C","C","B","R$ 15,640,507.52","R$ 15,070,411.66","3537"
"Elisiário","Região Administrativa de São José do Rio Preto","2016","Muito Pequeno","B","B+","B","B+","C+","C","C","B","R$ 14,865,133.66","R$ 13,870,977.32","3359"
"Elisiário","Região Administrativa de São José do Rio Preto","2014","Muito Pequeno","B","B+","B+","B","B","C","C","B","R$ 14,908,175.66","R$ 16,982,950.65","3282"
"Elisiário","Região Administrativa de São José do Rio Preto","2015","Muito Pequeno","B","B+","B+","B+","C+","C","C","B","R$ 14,117,774.96","R$ 13,770,270.02","3324"
"Embaúba","Região Administrativa de Barretos","2015","Muito Pequeno","B","C+","C","C+","B","C","C","C+","R$ 11,954,960.29","R$ 12,270,717.66","2408"
"Embaúba","Região Administrativa de Barretos","2017","Muito Pequeno","B","B","B","B+","B+","C+","C","B","R$ 15,212,826.58","R$ 14,037,848.29","2476"
"Embaúba","Região Administrativa de Barretos","2014","Muito Pequeno","B+","A","C+","B","B+","B","C","B","R$ 12,553,916.15","R$ 20,451,449.91","2411"
"Embaúba","Região Administrativa de Barretos","2016","Muito Pequeno","B+","B+","B+","B","B+","B","C","B+","R$ 14,852,943.93","R$ 14,244,382.85","2408"
"Embu das Artes","Região Metropolitana de São Paulo","2017","Grande","B","B","C","C","C","C+","C","C","R$ 565,052,915.08","R$ 559,806,587.15","267054"
"Embu das Artes","Região Metropolitana de São Paulo","2014","Grande","B","B+","C+","B","B+","A","B","C+","R$ 485,480,476.09","R$ 457,358,965.54","252729"
"Embu das Artes","Região Metropolitana de São Paulo","2015","Grande","C+","B","C+","B","B+","A","C+","C+","R$ 504,970,408.31","R$ 466,884,267.55","256031"
"Embu das Artes","Região Metropolitana de São Paulo","2016","Grande","B","B","B","B","C","B","C+","B","R$ 534,111,021.79","R$ 503,258,280.28","258917"
"Embu-Guaçu","Região Metropolitana de São Paulo","2014","Médio","B+","B+","C","B+","B","A","C+","B","R$ 117,647,915.97","R$ 125,662,100.61","64882"
"Embu-Guaçu","Região Metropolitana de São Paulo","2016","Médio","C+","B","C","B","C","C+","C","C+","R$ 126,415,774.32","R$ 135,337,205.32","65950"
"Embu-Guaçu","Região Metropolitana de São Paulo","2017","Médio","B","B","C","C+","C","C+","C+","C+","R$ 135,172,324.13","R$ 127,155,693.09","68270"
"Embu-Guaçu","Região Metropolitana de São Paulo","2015","Médio","C+","B+","C","B","C+","B+","C","C+","R$ 124,425,266.93","R$ 136,120,557.65","65435"
"Emilianópolis","Região Administrativa de Presidente Prudente","2014","Muito Pequeno","A","B+","B","B+","C","C","C","B","R$ 12,166,466.20","R$ 12,404,372.39","3047"
"Emilianópolis","Região Administrativa de Presidente Prudente","2017","Muito Pequeno","B","B+","C","C+","C","C","C","C+","R$ 13,826,980.54","R$ 13,958,666.66","3197"
"Emilianópolis","Região Administrativa de Presidente Prudente","2016","Muito Pequeno","C+","B+","C+","B","C+","C","C","C","R$ 13,033,594.58","R$ 13,319,139.56","3057"
"Emilianópolis","Região Administrativa de Presidente Prudente","2015","Muito Pequeno","C+","C+","C+","B","B","C","C","C","R$ 12,303,719.88","R$ 12,496,945.56","3054"
"Engenheiro Coelho","Região Administrativa de Campinas","2014","Pequeno","B+","B","C","B","B","B+","C+","B","R$ 48,650,593.39","R$ 43,662,310.83","17772"
"Engenheiro Coelho","Região Administrativa de Campinas","2016","Pequeno","B","C+","B+","B","C","B+","C","B","R$ 50,569,371.41","R$ 52,826,917.84","18761"
"Engenheiro Coelho","Região Administrativa de Campinas","2015","Pequeno","B+","B","C","B+","C+","B","C","B","R$ 47,389,875.07","R$ 45,664,336.27","18343"
"Engenheiro Coelho","Região Administrativa de Campinas","2017","Pequeno","B","C","C","C","B","B+","C","C+","R$ 50,083,412.82","R$ 50,330,099.92","19497"
"Espírito Santo do Pinhal","Região Administrativa de Campinas","2015","Médio","B","B","B+","B","A","B","B+","B+","R$ 90,346,870.50","R$ 105,267,867.72","42294"
"Espírito Santo do Pinhal","Região Administrativa de Campinas","2017","Médio","B","B","C","B","B+","A","C+","B","R$ 98,884,385.47","R$ 98,304,157.53","44170"
"Espírito Santo do Pinhal","Região Administrativa de Campinas","2014","Médio","B+","B+","C","B","B+","C","A","B","R$ 88,230,158.43","R$ 91,850,812.48","42214"
"Espírito Santo do Pinhal","Região Administrativa de Campinas","2016","Médio","B","C+","B","B+","B+","C","B+","B","R$ 100,382,532.89","R$ 99,407,343.48","42350"
"Espírito Santo do Turvo","Região Administrativa de Marília","2014","Muito Pequeno","B","A","C","B+","B+","C","C+","B","R$ 16,973,393.91","R$ 16,261,088.78","4462"
"Espírito Santo do Turvo","Região Administrativa de Marília","2016","Muito Pequeno","A","A","B","A","B+","C","C","B+","R$ 17,786,180.34","R$ 18,052,906.60","4573"
"Espírito Santo do Turvo","Região Administrativa de Marília","2017","Muito Pequeno","B","B+","C","B+","B","C","C","B","R$ 18,082,292.78","R$ 17,942,540.07","4713"
"Espírito Santo do Turvo","Região Administrativa de Marília","2015","Muito Pequeno","B+","B+","C","B+","B+","C","C","B","R$ 16,478,048.43","R$ 16,379,688.76","4519"
"Estiva Gerbi","Região Administrativa de Campinas","2015","Pequeno","B","B+","B+","B","B","B","C","B","R$ 32,745,312.74","R$ 32,372,000.97","10581"
"Estiva Gerbi","Região Administrativa de Campinas","2016","Pequeno","B","B","B","B","B+","C","B","C+","R$ 31,249,236.22","R$ 30,000,570.02","10678"
"Estiva Gerbi","Região Administrativa de Campinas","2017","Pequeno","C+","B","C","B+","B","B+","C","C+","R$ 36,897,344.61","R$ 35,422,876.36","11067"
"Estiva Gerbi","Região Administrativa de Campinas","2014","Pequeno","B+","B","B+","B","C+","C","C","B","R$ 28,931,966.79","R$ 28,722,463.05","10469"
"Estrela d'Oeste","Região Administrativa de São José do Rio Preto","2015","Pequeno","C+","B+","C","B+","C+","C","C","C+","R$ 27,456,704.10","R$ 26,895,435.83","8157"
"Estrela d'Oeste","Região Administrativa de São José do Rio Preto","2016","Pequeno","C+","A","B+","B+","C","C","C","B","R$ 31,127,393.54","R$ 30,689,470.91","8144"
"Estrela d'Oeste","Região Administrativa de São José do Rio Preto","2017","Pequeno","C","B+","C+","B","C","C","C","C+","R$ 31,113,290.95","R$ 32,891,953.49","8466"
"Estrela d'Oeste","Região Administrativa de São José do Rio Preto","2014","Pequeno","B","B","C","B","B","C+","B","C+","R$ 25,807,237.67","R$ 25,590,869.73","8168"
"Estrela do Norte","Região Administrativa de Presidente Prudente","2017","Muito Pequeno","B","B+","C","C+","B","C","C+","C+","R$ 14,615,989.07","R$ 14,342,148.64","2769"
