Município;Região Administrativa;Região de Governo;Distância da Capital (km);Número de Habitantes (em 2010);Porte;Possui Arquivo Público?;Tipo de Referência Legal que regulamenta Arquivo(s) Público(s);Número da Referência Legal que regulamenta Arquivo(s) Público(s);Data da Referência Legal que regulamenta Arquivo(s) Público(s);Ementa da Referência Legal que regulamenta Arquivo(s) Público(s);Nome Oficial do Arquivo Público 1;Vínculo do Arquivo Público 1;Endereço do Arquivo Público 1;Bairro do Arquivo Público 1;CEP do Arquivo Público 1;Telefone do Arquivo Público 1;E-mail do Arquivo Público 1;Site do Arquivo Público 1;Tipo de Referência Legal que regulamenta o Arquivo Público 1;Número da Referência Legal que regulamenta o Arquivo Público 1;Data da Referência Legal que regulamenta o Arquivo Público 1;Ementa da Referência Legal que regulamenta o Arquivo Público 1;Nome Oficial do Arquivo Público 2;Vínculo do Arquivo Público 2;Endereço do Arquivo Público 2;Bairro do Arquivo Público 2;CEP do Arquivo Público 2;Telefone do Arquivo Público 2;E-mail do Arquivo Público 2;Site do Arquivo Público 2;Tipo de Referência Legal que regulamenta o Arquivo Público 2;Número da Referência Legal que regulamenta o Arquivo Público 2;Data da Referência Legal que regulamenta o Arquivo Público 2;Ementa da Referência Legal que regulamenta o Arquivo Público 2;Possui Comissão de Avaliação de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Data da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Ementa da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Observações sobre Comissão de Avaliação de Documentos;Possui Tabela de Temporalidade de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Número da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Data da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Ementa da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Qual(is) Tabela de Temporalidade de Documentos possui;Observações sobre Tabela de Temporalidade de Documentos;Foi atendido pelo CAM (Centro de Assistência aos Municípios);Recebeu Visita Técnica do CAM (Centro de Assistência aos Municípios);Foi elaborado Parecer Técnico pelo CAM (Centro de Assistência aos Municípios);Participou de eventos sobre Gestão Documental promovidos pelo CAM (Centro de Assistência aos Municípios);Foi acionado pelo Ministério Público do Estado de São Paulo;Regulamentou a Lei de Acesso à Informação;Tipo da Referência Legal que regulamenta a Lei de Acesso à Informação;Número da Referência Legal que regulamenta a Lei de Acesso à Informação;Data da Referência Legal que regulamenta a Lei de Acesso à Informação;Ementa da Referência Legal que regulamenta a Lei de Acesso à Informação;Existe a previsão de pelo menos uma instância recursal;1ª Instância Recursal (obrigatória);2ª Instância Recursal;3ª Instância Recursal;4ª Instância Recursal;Existe a previsão para autoridades classificarem informações quanto ao grau de sigilo;Existe a previsão de responsabilização do servidor em caso de negativa de informação;Existe a previsão de criação do SIC (Serviço de Informação ao Cidadão);Vínculo e Localização do SIC (Serviço de Informação ao Cidadão);Nota obtida na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Nota obtida na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Evolução no Ranking da Transparência do MPF (Ministério Público Federal) em relação à avaliação anterior
Caconde;Região Administrativa de Campinas;São João da Boa Vista;296;18.538;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,5;375;8,1;88;SUBIU
Cafelândia;Região Administrativa de Bauru;Lins;411;16.607;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;3,7;468;5,9;336;SUBIU
Caiabu;Região Administrativa de Presidente Prudente;Presidente Prudente;557;4.072;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;6,4;141;3,1;562;CAIU
Caieiras;Região Administrativa de São Paulo;São Paulo;37;86.529;Médio;Sim;Lei Complementar;3520;18/03/2004;Cria o Arquivo Público Municipal;Arquivo Público Municipal;Gabinete do Prefeito;;;;;;;Lei Complementar;3520;18/03/2004;Cria o Arquivo Público Municipal;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;Sim;Sim;Lei;4665;11/11/2013;Regulamenta LAI;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou Autoridade Máxima dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedade de economia mista de âmbito municipal, bem como das demais entidades controladas direta ou indiretamente pelo Município;Não há;Não há;Sim;Sim;Sim;Não determinada: órgão de fácil acesso e aberto ao público em todos os órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedade de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Município (recebe e protocoliza os pedidos).;6,3;155;7,1;186;SUBIU
Caiuá;Região Administrativa de Presidente Prudente;Presidente Prudente;624;5.039;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,3;155;7,6;129;SUBIU
Cajamar;Região Administrativa de São Paulo;São Paulo;38;64.114;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;4864;04/06/2013;Regulamenta LAI;Sim;Diretor Municipal ou Diretor Presidente da entidade da administração pública indireta que exarou a decisão impugnada;Não há;Não há;Não há;Não;Sim;Sim;Ouvidoria Geral Municipal;5,7;239;5,6;362;CAIU
Cajati;Região Administrativa de Registro;Registro;232;28.372;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1057;08/08/2013;Instala SIC;Não;Não há;Não há;Não há;Não há;Não;Não;Sim;Praça do Paço Municipal, nº10 (anexo à Seção de Protocolo e Arquivo).;6,1;178;7;205;SUBIU
Cajobi;Região Administrativa de Barretos;Barretos;447;9.768;Pequeno 1;Sim;Lei;2104;13/08/2013;Cria Arquivo Municipal;Arquivo Público Municipal;Gabinete do Prefeito;;;;;;;Lei;2104;13/08/2013;Cria Arquivo Municipal;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1278;21/08/2013;Regulamenta LAI e SIC;Sim;Autoridade Hierarquicamente superior à que adotou a decisão;Autoridade Máxima do Órgão ou Entidade;Controladoria Geral da União;Comissão Mista de Reavaliação de Informações?;Não;Sim;Sim;Órgãos e Entidades (O SIC protocoliza os pedidos);5,7;239;4,6;461;CAIU
Cajuru;Região Administrativa de Ribeirão Preto;Ribeirão Preto;303;23.371;Pequeno 2;Sim;Lei;1620;20/11/2007;Cria Arquivo Público;Arquivo Público Municipal;Secretaria Municipal de Cultura, Esportes e Turismo;;;;;;;Lei;1620;20/11/2007;Cria Arquivo Público;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;1799;11/12/2012;Regulamenta LAI;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou Autoridade Máxima  dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedade de economia mista de âmbito municipal, bem como das demais entidades controladas direta ou indiretamente pelo Município;Não há;Não há;Sim;Sim;Sim;Não determinada: órgão de fácil acesso e aberto ao público em todos os órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedade de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Município (recebe e protocoliza os pedidos).;5,2;300;8,2;83;SUBIU
Campina do Monte Alegre;Região Administrativa de Itapeva;Itapeva;224;5.567;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4,1;420;4,2;489;SUBIU
Campinas;Região Administrativa de Campinas;Campinas;96;1.080.113;Metrópole;Sim;Lei;10248;15/09/1999;Reorganiza Estrutura Administrativa;Coordenadoria Setorial de Arquivo Municipal;Secretaria Municipal de Chefia de Gabinete do Prefeito;Avenida Heitor Penteado, 2145;Taquaral;13087-000;(19) 3256-1800;arquivo.municipal@campinas.sp.gov.br ;http://www.campinas.sp.gov.br/conheca-campinas/atracoes-culturais-arquivos.php;Lei;10248;15/09/1999;Reorganiza Estrutura Administrativa;;;;;;;;;;;;;Sim;Decreto;15425;24/03/2006;;;Sim;;;;;Meio e Fim;"A Tabela de Temporalidade foi parcialmente oficializada (somente algumas áreas). Semelhantes às do Estado com mais Áreas-FIM. Portaria 68, de 31/08/2006 (TTD SANASA); Decreto 16.122/2008, de 10/01/2008 (TTD de Gestão de Bens Materiais e Patrimoniais da Administração Direta); Publicação no Diário Oficial do Município, em 27/02/2009 (TTD da SANASA); Decreto 16.993, de 11/02/2010 (TTD de Gestão Orçamentária, Financeira e Tributária da Administração Direta); Decreto 17.027, de 22/03/2010 (TTD do Transporte Público); Portaria 144, de 15/04/2010 (TTD SANASA); Portaria 190, de 21/10/2011 (TTD SANASA); Decreto 17.750, de 22/10/2012 (TTD Educação); Decreto 17.760, de 30/10/2012 (TTD PROCON); Resolução 36, de 10/12/2012 (TTD CMDCA); Portaria 255, de 18/12/2012 (TTD SANASA); Decreto 18.339, de 07/05/2014 (TTD Secretaria Jurídica).";Sim;Não;Não;Não;;Sim;Decreto;17630;22/06/2012;Regulamenta LAI;Sim;Secretário Municipal ou Diretor Presidente da entidade da administração pública indireta da área que exarou a decisão impugnada;Comissão Mista de Julgamento de Recursos de Acesso à Informação;Não há;Não há;Não;Não;Sim;Balcão de Atendimento ao Cidadão no Paço Municipal e Postos de Atendimento Descentralizados do 156.;7,6;27;8,3;72;SUBIU
Campo Limpo Paulista;Região Administrativa de Campinas;Jundiaí;53;74.074;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;6141;14/11/2013;Cria SIC;Sim;Autoridade imediatamente superior àquela que proferiu a decisão;Prefeito;Não há;Não há;Não;Não;Sim;Secretaria de Governo: recebimento e protocolização dos pedidos referentes à Administração Direta (no caso da Administração Indireta, caberá ao próprio Ente da mesma o fornecimento de informação). ;1,9;586;3,4;548;SUBIU
Campos do Jordão;Região Administrativa de São José dos Campos;Taubaté;173;47.789;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;1,9;586;0,4;632;CAIU
Campos Novos Paulista;Região Administrativa de Marília;Assis;415;4.539;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;2,6;551;3,4;548;SUBIU
Cananéia;Região Administrativa de Registro;Registro;265;12.226;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;;;;;;;;;;;;"Lei Municipal nº 2.237/2015, de 02/06/2015 cria a ""Encarregatura do Arquivo Municipal"" (art. 21, I, b), 2)";Sim;Não;Não;Sim;Sim;Sim;Decreto;794;17/03/2015;Regulamenta LAI;Sim;Diretor Municipal da área que exarou a decisão impugnada.;Comissão de Avaliação, Recurso e Monitoramento: julgamentos de recursos de Acesso à Informação.;Não há;Não há;Não;Não;Sim;Balcão SIC: Paço Municipal (recebe e registra as solicitações).;5,7;239;6,4;273;SUBIU
Canas;Região Administrativa de São José dos Campos;Guaratinguetá;199;4.385;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,3;155;5,8;344;CAIU
Cândido Mota;Região Administrativa de Marília;Assis;428;29.884;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,5;375;6,1;314;SUBIU
Cândido Rodrigues;Região Administrativa Central;Araraquara;365;2.668;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1754;20/01/2015;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Sim;Sim;Rua São Paulo, nº 321;6,9;76;7,7;124;SUBIU
Canitar;Região Administrativa de Marília;Ourinhos;368;4.369;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,1;178;5,4;387;CAIU
Capão Bonito;Região Administrativa de Itapeva;Itapeva;230;46.178;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Lei;3843;25/10/2013;Regulamenta LAI;Sim;Prefeitura                                                                                       ;Não há;Não há;Não há;Não;Sim;Sim;Ouvidoria da Prefeitura (recebe e protocoliza os pedidos).;6,3;155;6,3;283;IGUAL
Capela do Alto;Região Administrativa de Sorocaba;Itapetininga;134;17.532;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,7;239;2,6;580;CAIU
Capivari;Região Administrativa de Campinas;Piracicaba;136;48.576;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;4,2;405;6,1;314;SUBIU
Caraguatatuba;Região Administrativa de São José dos Campos;Caraguatatuba;178;100.840;Grande;Sim;Lei;2218;26/02/2015;"Dispõe sobre o Arquivo Público Municipal, altera a denominação e estrutura a Divisão de Arquivo Documental, reestrutura o Arquivo ""Arino Sant'Ana de Barros"", institui o Sistema Municipal de Arquivos e dá outras providências.";"Arquivo Municipal de Caraguatatuba ""Arino Sant'Ana de Barros""";Fundação Educacional e Cultural de Caraguatatuba;Rua Santa Cruz, 396;Centro;11660-150;(12) 3897-5662;arquivopublico@fundacc.com.br;http://www.fundacc.sp.gov.br/apmc-arquivo-publico/;Lei;2218;26/02/2015;"Dispõe sobre o Arquivo Público Municipal, altera a denominação e estrutura a Divisão de Arquivo Documental, reestrutura o Arquivo ""Arino Sant'Ana de Barros"", institui o Sistema Municipal de Arquivos e dá outras providências.";Divisão de Arquivo Público Municipal José Lúcio de Alcântara;Secretaria Municipal de Administração de Caraguatatuba;Avenida Ministro Dilson Funaro, 826;Jardim Britânia;11672-150;(12) 3882-5706;arquivopublicocaraguatatuba@gmail.com, marcelo.timoteo@caraguatatuba.sp.gov.br ;https://www.facebook.com/arquivopublicodecaraguatatuba;Lei;2218;26/02/2015;"Dispõe sobre o Arquivo Público Municipal, altera a denominação e estrutura a Divisão de Arquivo Documental, reestrutura o Arquivo ""Arino Sant'Ana de Barros"", institui o Sistema Municipal de Arquivos e dá outras providências.";Sim;Lei;2218;26/02/2015;"Dispõe sobre o Arquivo Público Municipal, altera a denominação e estrutura a Divisão de Arquivo Documental, reestrutura o Arquivo ""Arino Sant'Ana de Barros"", institui o Sistema Municipal de Arquivos e dá outras providências.";;Sim;;;;;Meio e Fim;TTD oficializada pelo Decreto 546, de 04/10/2016. CADA criada pela Lei 2218/2015 (ver artigos 12 e 13).;Sim;Não;Não;Não;Sim;Sim;Decreto;102;10/08/2012;Regulamenta LAI;Sim;Secretaria de Administração com eventual consulta a Secretaria de Assuntos Jurídicos;Chefe do Poder Executivo;Não há;Não há;Não;Sim;Sim;Não determinada: Local com condições apropriadas em todos os órgãos e entidades da Administração Pública Municipal (protocoliza os pedidos). O SIC é subordinado diretamente a Secretaria de Governo ;5,3;291;5,6;362;SUBIU
Carapicuíba;Região Administrativa de São Paulo;São Paulo;29;369.584;Grande;Sim;Lei;2478;02/03/2004;Cria Arquivo Geral;Arquivo Geral do Município;Secretaria Municipal de Cultura;;;;;;;Lei;2478;02/03/2004;Cria Arquivo Geral;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;3166;13/12/2012;Dados Abertos e Acesso;Não;Não há;Não há;Não há;Não há;Não;Não;Sim;Não determinada. ;5,2;300;4,5;472;CAIU
Cardoso;Região Administrativa de São José do Rio Preto;Votuporanga;575;11.805;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,8;461;3,8;527;IGUAL
Casa Branca;Região Administrativa de Campinas;São João da Boa Vista;232;28.307;Pequeno 2;Sim;Lei;3073;25/04/2011;Cria o Arquivo Público;Arquivo Público Municipal de Casa Branca;Diretoria de Administração e Gestão Pública;Rua dos Basile, S/N;Desterro;13700-000;(19) 3671-1773;museu@casabranca.sp.gov.br;;Lei;3073;25/04/2011;Cria o Arquivo Público;;;;;;;;;;;;;Sim;Lei;3073;25/04/2011;Cria o Arquivo Público;;Sim;;;;;Meio e Fim;"Lei 3073/2011, de 25/04/2011 cria o Arquivo e prevê Comissão de Avaliação de Documentos de Arquivo (ver art. 6º e 7º). O Decreto 2182/2012 também prevê a CADA, em seus art. 26 e 27). Foi recomendada pelo CAM a revogação da Lei Municipal nº 1.625 de 21 de março de 1991, que autoriza o Prefeito Municipal a eliminar por incineração documentos municipais arquivados. CAM foi Informado por telefone, em 09/09/2011 que foi instituída a CADA e oficializada a TTD na Prefeitura e; foram iniciadas as tratativas para termo de cooperação com a Câmara. O Decreto 2182, de 12/12/2012, contudo, é que determina a criação da CADA.";Sim;Não;Não;Não;Sim;Sim;Decreto;2182;12/12/2012;Regulamenta LAI;Sim;Autoridade hierarquicamente superior da unidade ou entidade que indeferiu o acesso com eventual consulta à Comissão de Avaliação de Documentos de Arquivo.;Departamento Municipal de Administração e Gestão Pública;Não há;Não há;Sim;Sim;Sim;Local com condições apropriadas (protocoliza os pedidos) diretamente subordinado ao Departamento Municipal de Administração e Gestão Pública.;2,1;576;6,2;298;SUBIU
Cássia dos Coqueiros;Região Administrativa de Ribeirão Preto;Ribeirão Preto;303;2.634;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;813;24/07/2013;Regulamenta LAI;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou a autoridade máxima dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Município;Não há;Não há;Sim;Sim;Sim;Local  de fácil acesso (protocoliza os pedidos) em todos os órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Município (recebe e protocoliza os pedidos).;6,8;87;8,1;88;SUBIU
Castilho;Região Administrativa de Araçatuba;Andradina;642;18.003;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;4511;19/02/2013;Regulamenta LAI;Não;Não há;Não há;Não há;Não há;Não;Não;Sim;Protocolo;2,7;542;4,9;439;SUBIU
Catanduva;Região Administrativa de São José do Rio Preto;Catanduva;396;112.820;Grande;Sim;Lei;5094;01/10/2010;Cria Arquivo Público;Arquivo Público Municipal;Secretaria Municipal de Administração;Rua São Paulo, 777;Vila Mota;15804-000;(17) 3531-5310;sadm@catanduva.sp.gov.br;;Lei;5094;01/10/2010;Cria Arquivo Público;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;6399;12/11/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Ouvidoria: Praça Conde Francisco Matarazzo, 01, no 4º Andar do Paço Municipal.;5,2;300;7,6;129;SUBIU
Catiguá;Região Administrativa de São José do Rio Preto;Catanduva;414;7.127;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,6;361;4,1;500;CAIU
Cedral;Região Administrativa de São José do Rio Preto;São José do Rio Preto;443;7.972;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,5;375;5,4;387;SUBIU
Cerqueira César;Região Administrativa de Sorocaba;Avaré;290;17.532;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,9;20;6,3;283;CAIU
Cerquilho;Região Administrativa de Sorocaba;Itapetininga;136;39.617;Pequeno 2;Sim;Lei;3026;14/12/2011;Cria Arquivo Público;Arquivo Público Municipal;;;;;;;;Lei;3026;14/12/2011;Cria Arquivo Público;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,5;127;0,8;625;CAIU
Cesário Lange;Região Administrativa de Sorocaba;Itapetininga;153;15.540;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,6;252;7;205;SUBIU
Charqueada;Região Administrativa de Campinas;Piracicaba;186;15.085;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,9;206;6,3;283;SUBIU
Chavantes;Região Administrativa de Marília;Ourinhos;353;12.114;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;7,3;41;8,2;83;SUBIU
Clementina;Região Administrativa de Araçatuba;Araçatuba;510;7.065;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;3202;13/08/2013;Regulamenta LAI;Sim;Autoridade Hierarquicamente superior à que adotou a decisão;Não há;Não há;Não há;Não;Sim;Sim;Não determinada: coordenado pelo Departamento Municipal de Administração e Finanças (recebe e registra os pedidos).;4,1;420;3,6;541;CAIU
Colina;Região Administrativa de Barretos;Barretos;424;17.371;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Lei;2595;20/06/2007;;;Não;;;;;;"Existe Ato autorizando a eliminação. A Lei 2595, de 20/06/2007 ""dispõe sobre a criação das Comissões de Avaliação de Documentos"". O Decreto 3.377/2011, de 05/09/2011 estipula que a eliminação de documentos somente poderá ser feita pela ""Coordenadora Técnica Administrativa de Arquivos, mediante avaliação documental (art. 1º), e que cabe à Coordenadora elaborar a Tabela de Temporalidade (art. 2º). ";Sim;Não;Não;Não;;Sim;Lei;3048;06/08/2014;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Rua Antonio Paulo de Miranda, nº 466 (Prefeitura);7;60;6,4;273;CAIU
Colômbia;Região Administrativa de Barretos;Barretos;482;5.994;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;2,5;558;5,5;371;SUBIU
Conchal;Região Administrativa de Campinas;Limeira;180;25.229;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A Lei 1976, de 26/07/2013 criou o Portal da Transparência Municipal;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;2,1;576;4,8;446;SUBIU
Conchas;Região Administrativa de Sorocaba;Botucatu;176;16.288;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,9;454;1,9;601;CAIU
Cordeirópolis;Região Administrativa de Campinas;Limeira;175;21.080;Pequeno 2;Sim;Lei;1842;16/08/1995;Possui Arquivo Publico;Arquivo Histórico, Artístico e Cultural do Município de Cordeirópolis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;2858;20/12/2012;Regulamenta LAI;Sim;Autoridade Gestora Municipal;Chefe do Executivo;Não há;Não há;Não;Sim;Sim;Órgão de fácil acesso (recebe e protocoliza os pedidos) em  todos os órgãos públicos municipais, autarquias, fundações públicas, empresas públicas, sociedades de economia mista de âmbito municipal e entidades controladas direta ou indiretamente pelo Município. As unidades descentralizadas que não tiverem o SIC deverão encaminhar os pedidos para o SIC da Prefeitura.;7,1;56;8,6;55;SUBIU
Coroados;Região Administrativa de Araçatuba;Araçatuba;496;5.238;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,7;350;3,8;527;CAIU
Coronel Macedo;Região Administrativa de Itapeva;Itapeva;340;5.001;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,2;405;6,6;256;SUBIU
Corumbataí;Região Administrativa de Campinas;Rio Claro;217;3.874;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;8;19;8;95;IGUAL
Cosmópolis;Região Administrativa de Campinas;Campinas;138;58.827;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;2;583;3,9;515;SUBIU
Cosmorama;Região Administrativa de São José do Rio Preto;Votuporanga;513;7.214;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;3632;12/02/2014;Lei de Acesso regulamentada;Sim;Prefeito Municipal;Não há;Não há;Não há;Sim;Sim;Sim;Protocolo Geral (recebe e protocoliza os pedidos). O serviço de informações ao cidadão no âmbito da Administração Direta e Indireta do Poder Executivo Municipal é coordenado pelo Jurídico Interno.;4;433;6,7;244;SUBIU
Cotia;Região Administrativa de São Paulo;São Paulo;34;201.150;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;7605;23/01/2013;Regulamenta LAI;Sim;Prefeito;Não há;Não há;Não há;Sim;Sim;Sim;Divisão de Atendimento ao Munícipe e ao Cidadão do Departamento de Ouvidoria Geral da Secretaria Geral do Gabinete;5,1;309;5,8;344;SUBIU
Cravinhos;Região Administrativa de Ribeirão Preto;Ribeirão Preto;313;31.691;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,9;206;5,4;387;CAIU
